website,email,phone number,name,is domain email,address
https://playlistpush.com/,"['support@playlistpush.com', 'name@domain.com', 'your.name@domain.com', 'legal@playlistpush.com']","['8009525210', '18886004917']",playlistpush,1,[]
https://uniqueplaylists.com/,"['submit@uniqueplaylists.com', 'contact@uniqueplaylists.com']",[],uniqueplaylists,1,[]
https://fbp-music.com/,"['arne@fbp-music.com', 'info@fbp-music.com', 'booking@fbp-music.com']",['496995635974'],fbp-music,1,"['Mierendorffstraße 27, 60320 Frankfurt am Main, Germany']"
https://indiemono.com/,"['info@indiemono.com', 'victor@indiemono.com', 'dam@indiemono.com']",[],indiemono,1,[]
https://starlightpr1.com/,"['partners@starlightpr1.com', 'Info@starlightprsupport.com', 'promotions@starlightmusicgroup.com', 'info@starlightmusicgroup.com', 'DavidJGertz@teleworm.us']","['8777630631', '14062814027', '18777630631', '8883416477']",starlightpr1,1,[]
https://www.planetarygroup.com/,"['cristina@planetarygroup.com', 'ben@planetarygroup.com', 'info@planetarygroup.com', 'luke@planetarygroup.com', 'adam@planetarygroup.com']","['3239525050', '13239525050']",planetarygroup,1,"['6161 Santa Monica Blvd Suite 202, Los Angeles, CA 90038']"
https://behindthecurtainsmedia.com/,['mike@behindthecurtainsmedia.com'],['3476994429'],behindthecurtainsmedia,1,"['234 6th St #5, Brooklyn, NY 11215']"
https://groover.co/en/,"['pa.leclerc@ymail.com', 'blog@groover.co', 'selimarakam@gmail.com', 'b.porteu@gmail.com', 'romain@groover.co']",[],groover,1,"['55 Rue du Faubourg Saint-Antoine, 75011 Paris, France']"
https://www.one-submit.com/,"['support@One-Submit.com', 'support@OneSubmit.org', 'support@One-Submit.comorg', 'support@one-submit.com']",[],one-submit,1,[]
https://soundcamps.com/,"['support@soundcamps.com', 'support@trustpilot.com', 'privacy@trustpilot.com']",['3001232040'],soundcamps,1,[]
https://www.indiemusicacademy.com/,[],[],indiemusicacademy,0,[]
https://daimoon.media/,[],[],daimoon,0,[]
https://www.boost-collective.com/,[],[],boost-collective,0,[]
https://www.omarimc.com/,['user@gmail.com'],"['5045109678', '5163872596', '4245360609', '2489790481']",omarimc,0,[]
